panel_id,dept,building_id,region_id,lon,lat,panel_2d_area_m2,surface_m2,tilt_degrees,azimuth_degrees,confidence,source_image,source_tile,building_link_method,region_match_method
035100078_p0,35,35173_035100078,35173_035100078_r2,-1.706451149032907,48.23265315208561,10.778,14.469,41.85,214.47,0.9654,035100078.jpg,0350_6803,stage2a_spatial,contains
03510008_p1,35,,,-1.7027738690380945,48.57042303864459,42.131,42.131,,,0.9837,03510008.jpg,,none,none
035100183_p2,35,,,-1.8969451303970486,48.650014726510285,10.953,10.953,,,0.9573,035100183.jpg,,none,none
035100183_p3,35,,,-1.8970026865814165,48.64996222704897,8.653,8.653,,,0.9207,035100183.jpg,,none,none
035100249_p4,35,35004_035100249,35004_035100249_r3,-1.4382262365999319,48.46194293405571,9.654,13.115,42.6,207.98,0.9262,035100249.jpg,0372_6828,stage2a_spatial,contains
035100249_p5,35,35004_035100249,35004_035100249_r3,-1.438152501176691,48.461918539380726,5.439,7.389,42.6,207.98,0.8312,035100249.jpg,0372_6828,stage2a_spatial,contains
035100295_p6,35,35021_035100295,35021_035100295_r6,-1.1683171698247856,48.34806751581103,14.14,20.678,46.86,211.95,0.9217,035100295.jpg,0391_6814,stage2a_spatial,contains
035100308_p7,35,35037_035100308,35037_035100308_r28,-1.862196365986947,48.052018979239236,11.608,16.593,45.61,195.58,0.9675,035100308.jpg,0337_6784,stage2a_spatial,contains
03510031_p8,35,35038_03510031,35038_03510031_r2,-1.0559945151576322,48.09317076954053,19.476,24.5,37.35,204.27,0.9723,03510031.jpg,0398_6785,stage2a_spatial,contains
035100361_p9,35,35105_035100361,35105_035100361_r0,-1.0882670833186898,48.1226673182084,54.819,58.411,20.2,154.16,0.983,035100361.jpg,0395_6789,stage2a_spatial,contains
035100378_p10,35,35125_035100378,35125_035100378_r7,-1.2416076796074795,47.946111071875414,14.597,20.476,44.53,177.11,0.9792,035100378.jpg,0383_6770,stage2a_spatial,overlap
035100394_p11,35,35144_035100394,35144_035100394_r0,-1.8526492297765602,48.24432370119519,11.314,12.639,26.47,145.6,0.9582,035100394.jpg,0339_6805,stage2a_spatial,contains
035100394_p12,35,35144_035100394,35144_035100394_r0,-1.8527180310335596,48.244304796747656,3.758,4.198,26.47,145.6,0.9231,035100394.jpg,0339_6805,stage2a_spatial,nearest
035100469_p13,35,35234_035100469,35234_035100469_r2,-2.130054648523078,48.25540100510106,513.279,527.208,13.2,178.69,0.9884,035100469.jpg,0319_6808,stage2a_spatial,contains
035100478_p14,35,35245_035100478,35245_035100478_r2,-1.9025233758411568,48.237643475019915,15.528,18.639,33.58,193.65,0.9812,035100478.jpg,0336_6805,stage2a_spatial,contains
035100538_p15,35,35320_035100538,35320_035100538_r18,-2.027634637354518,48.15968914924474,12.475,16.519,40.96,179.38,0.9562,035100538.jpg,0326_6797,stage2a_spatial,contains
035100557_p16,35,35343_035100557,35343_035100557_r3,-1.5787083608207624,47.894277571897085,43.463,55.981,39.07,200.32,0.9758,035100557.jpg,0358_6765,stage2a_spatial,contains
035100705_p17,35,35110_035100705,35110_035100705_r3,-1.6469534576539284,48.31983204644521,13.106,18.404,44.59,162.86,0.9691,035100705.jpg,0355_6813,stage2a_spatial,contains
