panel_id,dept,building_id,region_id,lon,lat,panel_2d_area_m2,surface_m2,tilt_degrees,azimuth_degrees,confidence,source_image,source_tile,building_link_method,region_match_method
056583946_p7874,56,,,-2.589454483864289,47.586598969600814,10.186,10.186,,,0.9599,056583946.jpg,,none,none
056583946_p7875,56,,,-2.589464091508625,47.58657301359474,9.316,9.316,,,0.9499,056583946.jpg,,none,none
056584211_p7876,56,,,-3.2253012664998653,47.87144726042214,16.365,16.365,,,0.9534,056584211.jpg,,none,none
056584290_p7877,56,,,-2.576009279494229,47.586627037706805,122.077,122.077,,,0.975,056584290.jpg,,none,none
056584370_p7878,56,,,-2.9116152867942797,47.699086803646765,11.502,11.502,,,0.9617,056584370.jpg,,none,none
056584478_p7879,56,,,-3.2676352715933477,47.801709396765794,13.236,13.236,,,0.9734,056584478.jpg,,none,none
056584495_p7880,56,,,-3.2660833438178467,47.801449323438966,11.808,11.808,,,0.9736,056584495.jpg,,none,none
056584520_p7881,56,,,-3.0763406246262286,47.70928308906299,11.673,11.673,,,0.9551,056584520.jpg,,none,none
056584577_p7882,56,,,-3.2105057751025976,47.871352093670616,15.976,15.976,,,0.9778,056584577.jpg,,none,none
056584585_p7883,56,,,-3.204279004268753,47.8745773638469,15.133,15.133,,,0.9463,056584585.jpg,,none,none
05658460_p7884,56,,,-2.8572547337754393,47.52682525035131,87.425,87.425,,,0.9557,05658460.jpg,,none,none
056584605_p7885,56,,,-3.3436137030365862,47.72575453179647,7.18,7.18,,,0.9545,056584605.jpg,,none,none
056584648_p7886,56,,,-3.263514675603789,47.801213011439955,1.23,1.23,,,0.7143,056584648.jpg,,none,none
056584774_p7887,56,,,-3.151285962257173,47.8647550101037,16.182,16.182,,,0.9387,056584774.jpg,,none,none
056584780_p7888,56,56126_056584780,56126_056584780_r11,-2.321537978324591,47.51814051879297,4.435,5.787,39.97,214.24,0.8743,056584780.jpg,0299_6727,stage2a_spatial,contains
056584780_p7889,56,56126_056584780,56126_056584780_r22,-2.3215478911263374,47.51812246360084,1.004,1.274,37.95,221.41,0.7824,056584780.jpg,0299_6727,stage2a_spatial,nearest
056584938_p7890,56,,,-3.2148339598728786,47.85726311520363,76.132,76.132,,,0.9822,056584938.jpg,,none,none
056584984_p7891,56,,,-2.572599867314515,47.58611459256909,5.316,5.316,,,0.9593,056584984.jpg,,none,none
056585015_p7892,56,,,-3.262345140315777,47.80499780108413,36.949,36.949,,,0.9739,056585015.jpg,,none,none
056585049_p7893,56,,,-2.912500480564592,47.69869052012417,11.779,11.779,,,0.9689,056585049.jpg,,none,none
056585110_p7894,56,,,-2.6444599589663924,48.01669867197571,7.698,7.698,,,0.8087,056585110.jpg,,none,none
056585110_p7895,56,,,-2.6444039146830356,48.016659723185015,5.837,5.837,,,0.6463,056585110.jpg,,none,none
056585251_p7896,56,,,-3.262400719630331,47.80455607820826,9.181,9.181,,,0.969,056585251.jpg,,none,none
056585265_p7897,56,,,-3.207859911131307,47.86178550089047,196.222,196.222,,,0.9829,056585265.jpg,,none,none
056585289_p7898,56,,,-3.486470558937592,48.16319662668786,633.03,633.03,,,0.9921,056585289.jpg,,none,none
056585414_p7899,56,,,-3.206096713287205,47.86407598396849,12.142,12.142,,,0.9688,056585414.jpg,,none,none
056585428_p7900,56,,,-3.2689421041688917,47.781120811336216,8.762,8.762,,,0.9272,056585428.jpg,,none,none
056585509_p7901,56,,,-3.26075793636637,47.805554972379795,4.147,4.147,,,0.9449,056585509.jpg,,none,none
056585509_p7902,56,,,-3.2608066343744344,47.80552617966175,4.759,4.759,,,0.9521,056585509.jpg,,none,none
056585560_p7903,56,,,-2.8304264551911684,47.50218995769103,54.624,54.624,,,0.9611,056585560.jpg,,none,none
056585816_p7904,56,,,-3.2180911235620466,47.67464706331222,5.379,5.379,,,0.9215,056585816.jpg,,none,none
056585902_p7905,56,,,-2.925400373131432,48.06791683147041,6.162,6.162,,,0.9006,056585902.jpg,,none,none
056585940_p7906,56,,,-3.2263213730426075,47.85436293643207,9.787,9.787,,,0.9555,056585940.jpg,,none,none
056585940_p7907,56,,,-3.2264545566154266,47.8542910300394,10.259,10.259,,,0.9631,056585940.jpg,,none,none
056585951_p7908,56,,,-3.2259339826460907,47.85324111724404,12.277,12.277,,,0.9622,056585951.jpg,,none,none
056585961_p7909,56,,,-3.214360632275429,47.8572501865036,38.092,38.092,,,0.9096,056585961.jpg,,none,none
056585961_p7910,56,,,-3.214394431516239,47.85720926651229,1.665,1.665,,,0.6935,056585961.jpg,,none,none
056585961_p7911,56,,,-3.214279739599139,47.85719163244437,32.125,32.125,,,0.9344,056585961.jpg,,none,none
056585968_p7912,56,,,-3.2260901169330443,47.84569214478008,6.559,6.559,,,0.8292,056585968.jpg,,none,none
056586023_p7913,56,,,-3.2563661530898407,47.796621464332006,16.447,16.447,,,0.9409,056586023.jpg,,none,none
056586032_p7914,56,,,-3.275293160502209,47.79643450755465,21.805,21.805,,,0.9728,056586032.jpg,,none,none
056586131_p7915,56,,,-3.2655390437824994,47.788049874644045,10.428,10.428,,,0.9265,056586131.jpg,,none,none
056586131_p7916,56,,,-3.2654669842944797,47.788056691512665,2.798,2.798,,,0.774,056586131.jpg,,none,none
056586147_p7917,56,,,-3.0799059320576196,47.71695977805042,13.038,13.038,,,0.9505,056586147.jpg,,none,none
056586172_p7918,56,56184_056586172,56184_056586172_r3,-2.459392182227756,47.665525085406664,14.392,21.258,47.39,181.66,0.964,056586172.jpg,0290_6744,stage2a_spatial,contains
056586172_p7919,56,56184_056586172,56184_056586172_r1,-2.45929274090752,47.66553468988902,7.847,8.651,24.91,0.55,0.9508,056586172.jpg,0290_6744,stage2a_spatial,nearest
056586172_p7920,56,56184_056586172,56184_056586172_r3,-2.4594023014046233,47.66549100326393,11.974,17.687,47.39,181.66,0.9025,056586172.jpg,0290_6744,stage2a_spatial,overlap
056586239_p7921,56,,,-2.8992389465706236,48.00013798281857,47.975,47.975,,,0.9835,056586239.jpg,,none,none
056586244_p7922,56,56153_056586244,56153_056586244_r12,-2.324689670337029,47.58831899444242,3.96,4.278,22.23,56.06,0.6809,056586244.jpg,0300_6735,stage2a_spatial,contains
056586257_p7923,56,,,-2.961750858139187,48.07689785974035,25.348,25.348,,,0.9109,056586257.jpg,,none,none
056586389_p7924,56,,,-3.2707297263965995,47.799773365202284,13.277,13.277,,,0.9329,056586389.jpg,,none,none
056586401_p7925,56,,,-3.0803546861591964,47.71675657993919,16.418,16.418,,,0.9622,056586401.jpg,,none,none
056586401_p7926,56,,,-3.0804245135204846,47.7166716199749,5.156,5.156,,,0.8247,056586401.jpg,,none,none
056586408_p7927,56,56147_056586408,56147_056586408_r1,-2.286837010401481,47.53565677683787,2.82,3.929,44.14,10.94,0.9429,056586408.jpg,0302_6729,stage2a_spatial,nearest
056586408_p7928,56,56147_056586408,56147_056586408_r1,-2.2867616531453434,47.53564984924143,5.469,7.62,44.14,10.94,0.9364,056586408.jpg,0302_6729,stage2a_spatial,nearest
056586417_p7929,56,,,-3.347526814982933,47.931294522278804,9.675,9.675,,,0.9761,056586417.jpg,,none,none
056586556_p7930,56,,,-3.268277528455315,47.799707077840665,19.715,19.715,,,0.9678,056586556.jpg,,none,none
056586583_p7931,56,56147_056586583,56147_056586583_r10,-2.288364433918164,47.535853432923176,3.166,3.47,24.17,170.44,0.9615,056586583.jpg,0302_6729,stage2a_spatial,overlap
056586583_p7932,56,56147_056586583,56147_056586583_r8,-2.2884553136040098,47.53583636036389,1.115,1.583,45.23,169.16,0.7228,056586583.jpg,0302_6729,stage2a_spatial,contains
